pdb_id,pKd,num_nodes,num_edges,graph_file
4n70,12.0,188,3698,data/processed\4n70.pt
1lf9,12.0,158,2424,data/processed\1lf9.pt
6e9a,11.920818753952377,177,2946,data/processed\6e9a.pt
1sl3,11.853871964321762,173,3154,data/processed\1sl3.pt
4f3c,11.82390874094432,223,4210,data/processed\4f3c.pt
3o9i,11.82390874094432,180,3108,data/processed\3o9i.pt
5bry,11.82390874094432,168,2878,data/processed\5bry.pt
1duv,11.795880017344077,195,3392,data/processed\1duv.pt
4dfg,11.744727494896694,169,2798,data/processed\4dfg.pt
2i4x,11.721246399047171,156,2468,data/processed\2i4x.pt
4q1w,11.69897000433602,183,3550,data/processed\4q1w.pt
6cdj,11.69897000433602,169,2548,data/processed\6cdj.pt
1y6q,11.69897000433602,190,3468,data/processed\1y6q.pt
5mw4,11.69897000433602,115,1320,data/processed\5mw4.pt
4wr7,11.69897000433602,57,780,data/processed\4wr7.pt
2i4d,11.67778070526608,164,2598,data/processed\2i4d.pt
6u7p,11.67778070526608,174,3194,data/processed\6u7p.pt
4jn2,11.67778070526608,128,2166,data/processed\4jn2.pt
2i4w,11.585026652029182,163,2618,data/processed\2i4w.pt
2i4u,11.568636235841012,177,2832,data/processed\2i4u.pt
4wkb,11.568636235841012,206,3766,data/processed\4wkb.pt
4ll3,11.568636235841012,171,2646,data/processed\4ll3.pt
3qaa,11.537602002101044,183,3426,data/processed\3qaa.pt
4k1b,11.522878745280336,159,2990,data/processed\4k1b.pt
4djo,11.522878745280336,179,3202,data/processed\4djo.pt
4djr,11.522878745280336,171,2970,data/processed\4djr.pt
5qil,11.522878745280336,190,3374,data/processed\5qil.pt
5izj,11.522878745280336,20,92,data/processed\5izj.pt
5drr,11.455931955649724,193,3820,data/processed\5drr.pt
3wv1,11.4089353929735,130,2230,data/processed\3wv1.pt
2i0a,11.397940008672036,177,2884,data/processed\2i0a.pt
2hb3,11.346787486224656,170,2786,data/processed\2hb3.pt
5dgu,11.346787486224656,168,2700,data/processed\5dgu.pt
2j62,11.337242168318426,76,706,data/processed\2j62.pt
2x00,11.327902142064282,16,28,data/processed\2x00.pt
4gbd,11.318758762624412,202,3876,data/processed\4gbd.pt
2q5k,11.30102999566398,175,3054,data/processed\2q5k.pt
3o9e,11.30102999566398,191,3688,data/processed\3o9e.pt
2xpk,11.30102999566398,69,548,data/processed\2xpk.pt
1mau,11.30102999566398,185,3128,data/processed\1mau.pt
3st5,11.30102999566398,171,2850,data/processed\3st5.pt
4f2w,11.30102999566398,213,4136,data/processed\4f2w.pt
6oxq,11.30102999566398,171,2656,data/processed\6oxq.pt
3k8q,11.2839966563652,163,2838,data/processed\3k8q.pt
4ryd,11.259637310505756,94,1488,data/processed\4ryd.pt
4u8w,11.236572006437065,183,3098,data/processed\4u8w.pt
3ok9,11.229147988357855,182,3094,data/processed\3ok9.pt
3gi6,11.221848749616356,174,2980,data/processed\3gi6.pt
5dwr,11.221848749616356,161,3132,data/processed\5dwr.pt
