pdb_id,pKd,num_nodes,num_edges,graph_file
5mw4,11.69897000433602,115,1320,data/processed\5mw4.pt
4u8w,11.236572006437065,183,3098,data/processed\4u8w.pt
3gi6,11.221848749616356,174,2980,data/processed\3gi6.pt
4ryd,11.259637310505756,94,1488,data/processed\4ryd.pt
4jn2,11.67778070526608,128,2166,data/processed\4jn2.pt
5izj,11.522878745280336,20,92,data/processed\5izj.pt
5qil,11.522878745280336,190,3374,data/processed\5qil.pt
4djr,11.522878745280336,171,2970,data/processed\4djr.pt
2hb3,11.346787486224656,170,2786,data/processed\2hb3.pt
2i4u,11.568636235841012,177,2832,data/processed\2i4u.pt
1y6q,11.69897000433602,190,3468,data/processed\1y6q.pt
4f3c,11.82390874094432,223,4210,data/processed\4f3c.pt
2x00,11.327902142064282,16,28,data/processed\2x00.pt
4dfg,11.744727494896694,169,2798,data/processed\4dfg.pt
1sl3,11.853871964321762,173,3154,data/processed\1sl3.pt
5bry,11.82390874094432,168,2878,data/processed\5bry.pt
3st5,11.30102999566398,171,2850,data/processed\3st5.pt
4f2w,11.30102999566398,213,4136,data/processed\4f2w.pt
3ok9,11.229147988357855,182,3094,data/processed\3ok9.pt
2i4d,11.67778070526608,164,2598,data/processed\2i4d.pt
2i4x,11.721246399047171,156,2468,data/processed\2i4x.pt
6u7p,11.67778070526608,174,3194,data/processed\6u7p.pt
4djo,11.522878745280336,179,3202,data/processed\4djo.pt
2j62,11.337242168318426,76,706,data/processed\2j62.pt
2i0a,11.397940008672036,177,2884,data/processed\2i0a.pt
4n70,12.0,188,3698,data/processed\4n70.pt
3k8q,11.2839966563652,163,2838,data/processed\3k8q.pt
5dgu,11.346787486224656,168,2700,data/processed\5dgu.pt
3o9i,11.82390874094432,180,3108,data/processed\3o9i.pt
3wv1,11.4089353929735,130,2230,data/processed\3wv1.pt
6cdj,11.69897000433602,169,2548,data/processed\6cdj.pt
2q5k,11.30102999566398,175,3054,data/processed\2q5k.pt
1lf9,12.0,158,2424,data/processed\1lf9.pt
4ll3,11.568636235841012,171,2646,data/processed\4ll3.pt
